Country Name,Country Code,IT.NET.USER.P2,SE.PRM.ENRR,SE.SEC.ENRR,SE.XPD.TOTL.GD.ZS,SL.UEM.TOTL.ZS,SP.POP.TOTL
Lao PDR,LAO,11.458630687777777,118.766432762146,49.728156089782715,2.3150871651513216,1.3444444073571067,6410270.0
Latvia,LVA,72.41047441555556,102.90962886810323,105.59797382354732,5.697879995618548,13.12222226460776,2050550.4444444445
Lebanon,LBN,55.912198413333336,99.73379325866699,70.88882255554199,1.9752000172932933,6.333333174387617,4985960.444444444
Lesotho,LSO,13.057777777777778,109.07206916809088,50.505375862121575,11.3611402511597,27.155555301242398,2095044.0
Liberia,LBR,3.529219334888889,96.9684677124023,40.1100247701009,2.9594900608062753,3.9444444179534934,4162760.888888889
Libya,LBY,15.168529917499999,,,,17.766666730244946,6184812.888888889
Liechtenstein,LIE,87.01697766555556,104.82692500523171,110.80594199044371,2.302204966545105,,36572.11111111111
Lithuania,LTU,66.03416803222223,100.5779619216919,103.19808101654063,5.035756667455035,11.74444437026978,3015731.222222222
Luxembourg,LUX,91.71270138777778,97.58436965942383,100.79795455932629,4.1123950481414795,5.47777779897054,532770.4444444445
"Macao SAR, China",MAC,63.86386822666667,96.23112583160399,95.25001525878908,2.498460020337787,2.2777777645323,562925.6666666666
"Macedonia, FYR",MKD,59.96632908666667,88.00615038190571,81.42638288225446,,29.688888973659946,2074153.0
Madagascar,MDG,2.751959454333333,145.92806434631362,34.49701461791994,2.737237977981566,2.6888889074325544,22387482.0
Malawi,MWI,4.611427293666667,139.38539314270025,35.654294013977065,4.7109519004821765,6.46666669845581,16132113.444444444
Malaysia,MYS,62.819479542222226,101.37415599823,69.97131538391113,5.2547675371170035,3.233333322736952,29164387.333333332
Maldives,MDV,39.37718279111111,101.86643218994124,,4.729072451591492,2.6111110846201577,385739.44444444444
Mali,MLI,4.701354054444445,79.96866512298584,39.29570715767998,3.5717185565403544,8.64444457160101,16030107.0
Malta,MLT,67.07965476666666,99.02817440032966,96.31991141183028,6.546519994735717,6.077777862548826,421294.0
Marshall Islands,MHL,13.285580128888888,104.22524452209495,93.40624237060543,,,52657.666666666664
Mauritania,MRT,7.527680743333333,96.13213443756109,24.774029970169064,3.1827300071716302,10.055555767483163,3840525.777777778
Mauritius,MUS,36.81173301111111,102.96327114105237,92.05911159515382,3.7290799617767325,7.699999968210856,1255100.111111111
Mexico,MEX,40.094198266666666,103.50979069301057,85.03088487897598,5.086444241659982,4.733333428700764,120732582.55555555
"Micronesia, Fed. Sts.",FSM,24.546407425555557,96.5769081115723,,12.4677495956421,,104012.44444444444
Moldova,MDA,43.38518049888889,93.47430896759033,87.81158828735352,8.539283434549967,5.3444444338480634,3559814.777777778
Monaco,MCO,83.48016444333332,,,1.3961333632469166,,37518.88888888889
Mongolia,MNG,15.58269159888889,111.7733421325685,93.57630157470699,4.79622999827067,7.100000010596381,2820232.222222222
Montenegro,MNE,50.80683907555556,103.95994695027674,95.06537119547527,,18.62222247653538,620369.7777777778
Morocco,MAR,50.67497469,113.34698295593263,63.12465515136718,5.302944898605345,9.477777798970545,33379106.888888888
Mozambique,MOZ,7.743891589555555,106.12680721282975,26.597682237625126,6.2802200317382795,24.011110729641356,25743862.0
Myanmar,MMR,7.998793138888889,97.97086334228518,48.99681282043458,,0.800000011920928,51070794.777777776
